,Unnamed: 0,question_type,has_solution,exam_year,semester,moed,question_number,url,data_resource,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,number_of_possible_answers,topics_covered,dataset,translated_separately,question_in_hebrew,answer_in_hebrew,orig_answer_in_eng,should_translate,question_id,comments,chat_answer,chat_correct,nli,nli_correct
0,792,B,TRUE,2018,A,B,1-a,T3/ds18AB-Sol.pdf,TAU,3,"\textit{Given a series of n elements, what is the time complexity for finding the k smallest elements in the series (for k < n).}",na,"\textbf{Time complexity:} \(O(n)\) \\
\textbf{Brief explanation:} Using a selection algorithm we saw in class and then partition.",na,m,tested,,"בהינתן סדרה של n איברים, מה סיבוכיות הזמן למציאת k האיברים הקטנים בגודלם בסדרה (עבור k < n). ","סיבוכיות זמן: (n(O
הסבר קצר: בעזרת אלגוריתם selection שראינו בכיתה ואז partition.",,,,,"The time complexity for finding the k smallest elements in a series of n elements can be determined by using a min-heap data structure. 

In a min-heap, the smallest element is always stored at the root node. To find the k smallest elements, we can construct a min-heap from the given series of n elements. This operation would have a time complexity of O(n) as we need to iterate through all the elements and perform heapify operations to construct the min-heap.

After constructing the min-heap, we need to perform k extract-min operations to obtain the k smallest elements. Each extract-min operation takes O(log n) time complexity. So, the overall time complexity for finding the k smallest elements would be O(n + k log n). 

Therefore, the time complexity for finding the k smallest elements in a series of n elements is O(n + k log n).",not correct,"['entailment', 'neutral']",no
1,795,C,TRUE,2018,A,B,1-d,T3/ds18AB-Sol.pdf,TAU,2,"A sloppy minimum heap is a data structure similar to a heap, which instead of returning the minimum, returns one of the k smallest elements in the heap. Additionally, in the delete operation, it deletes the same element that it returned as the approximate minimum. The operations supported by the data structure (ADT) are:
\begin{itemize}
    \item \texttt{Insert(x)} - insertion of a new element with key \(x\).
    \item \texttt{FindApproxMin()} - return an approximate minimum (an element among the k smallest elements).
    \item \texttt{DeleteApproxMin()} - deletion of the approximate minimum (deletion of the same element that if we performed \texttt{FindApproxMin()} we would receive).
\end{itemize}
For \(k=1\) can a sloppy heap be implemented so that all operations in the ADT take amortized time \(O(1)\)?",FALSE,"\noindent No. Explanation: No, because then we could reach a contradiction to the lower bound of sorting.",2,"b,h",tested,,"ערימת מינימום מרושלת היא מבנה נתונים הדומה לערימה שבמקום להחזיר את המינימום מחזירה את אחד מבין הK איברים הכי קטנים בערימה. בנוסף בפעולת המחיקה היא מוחקת את אותו איבר
שהחזירה כמינימום המקורב. הפעולות בהן תומך מבנה הנותנים ה (ADT): 
•  𝐼𝑛𝑠𝑒𝑟𝑡(𝑥) - הכנסה של איבר חדש עם מפתח .x
•  𝐹𝑖𝑛𝑑𝐴𝑝𝑝𝑟𝑜𝑥𝑀𝑖𝑛() - החזרת מינימום מקורב (איבר מבין הk איברים הכי קטנים.)
•  𝐷𝑒𝑙𝑒𝑡𝑒𝐴𝑝𝑝𝑟𝑜𝑥𝑀𝑖𝑛() - מחיקת המינימום המקורב (מחיקת אותו איבר שאם נעשה 𝐹𝑖𝑛𝑑𝐴𝑝𝑝𝑟𝑜𝑥𝑀𝑖𝑛 נקבלו).
עבור 𝑘=1 האם ניתן לממש ערימה מרושלת כך שכל הפעולות ב ADT לוקחות זמן אמורטייזד(1)O?",לא. הסבר: לא כי אז היינו יכולים להגיע לסתירה לחסם התחתון של מיון.,,,,,"To implement a sloppy minimum heap where all operations in the ADT take amortized time \(O(1)\) when \(k=1\), we can use the following approach:

Let's use a regular heap to implement the approximate minimum element functionality. When inserting a new element, insert it into this regular heap. When finding the approximate minimum element, return the minimum element from this regular heap. When deleting the approximate minimum element, delete the minimum element from this regular heap.

Since a regular heap has \(O(\log n)\) time complexity for insertion, finding the minimum element, and deleting the minimum element, we can achieve amortized time \(O(1)\) for each operation when \(k=1\).

Therefore, a sloppy minimum heap can be implemented so that all operations in the ADT take amortized time \(O(1)\) when \(k=1\) by using a regular heap for the approximate minimum element functionality.",not correct,"['entailment', 'contradiction']",half
2,796,C,TRUE,2018,A,B,1-e,T3/ds18AB-Sol.pdf,TAU,5,"A sloppy minimum heap is a data structure similar to a heap, where instead of returning the minimum element, it returns one of the K smallest elements in the heap. Additionally, in the delete operation, it deletes the element that was returned as the approximate minimum. The operations supported by the ADT are:
• \( \text{Insert}(x) \) - insertion of a new element with key \( x \).
• \( \text{FindApproxMin}() \) - return an approximate minimum (an element among the k smallest elements).
• \( \text{DeleteApproxMin}() \) - delete the approximate minimum (delete the same element that would be obtained by doing \( \text{FindApproxMin} \)).

For \( k=n/100 \), is it possible to implement the sloppy heap such that all operations in the ADT take amortized \( O(1) \) time?",1,"Yes. Explanation: Find the n/200 smallest elements – denote this set by S.
During the next n/200 operations, return an element that hasn't been removed from set S (note that there must necessarily be such an element). After n/200, rebuild (find the set S again according to the elements currently in the data structure). Note that the element returned by the data structure is always among the n/100 smallest.",2,"b,h",tested,,"ערימת מינימום מרושלת היא מבנה נתונים הדומה לערימה שבמקום להחזיר את המינימום מחזירה את אחד מבין הK איברים הכי קטנים בערימה. בנוסף בפעולת המחיקה היא מוחקת את אותו איבר
שהחזירה כמינימום המקורב. הפעולות בהן תומך מבנה הנותנים ה (ADT): 
•  𝐼𝑛𝑠𝑒𝑟𝑡(𝑥) - הכנסה של איבר חדש עם מפתח .x
•  𝐹𝑖𝑛𝑑𝐴𝑝𝑝𝑟𝑜𝑥𝑀𝑖𝑛() - החזרת מינימום מקורב (איבר מבין הk איברים הכי קטנים.)
•  𝐷𝑒𝑙𝑒𝑡𝑒𝐴𝑝𝑝𝑟𝑜𝑥𝑀𝑖𝑛() - מחיקת המינימום המקורב (מחיקת אותו איבר שאם נעשה 𝐹𝑖𝑛𝑑𝐴𝑝𝑝𝑟𝑜𝑥𝑀𝑖𝑛 נקבלו).
עבור k=n/100 , האם ניתן לממש ערימה מרושלת כך שכל הפעולות ב ADT לוקחות זמן אמורטייזד (1)O?","כן. הסבר: נמצא את ה n/200 איברים הכי קטנים – נסמן קבוצה זאת ב S .
במשך ה n/200 פעולות הבאות נחזיר איבר שלא נמחק מהקבוצה S (נשים לב שהבכרח קיים איבר כזה). אחריי n/200 נבנה מחדש (נמצא שוב את הקבוצה S לפי האיברים שכרגע נמצאים במבנה הנתונים). נשים לב שהאיבר שמבנה הנתונים מחזיר הוא תמיד בין ה n/100 הכי קטנים.",,,,,"Yes, it is possible to implement the sloppy minimum heap such that all operations in the ADT take amortized \( O(1) \) time for \( k = \frac{n}{100} \). 

The idea is to maintain an array of priority queues, where each priority queue stores elements with keys in a certain range. The priority queues are maintained such that the element with the approximate minimum key can be found in constant time.

The operations can be implemented as follows:

1. Insert(x): Insert the element with key x into the corresponding priority queue based on its key value.

2. FindApproxMin(): Iterate through the priority queues starting from the one with the smallest key range. Return the top element of the priority queue with the smallest key range.

3. DeleteApproxMin(): Delete the top element of the priority queue with the smallest key range.

By maintaining the priority queues efficiently and updating them when necessary, all operations in the ADT can be performed in amortized \( O(1) \) time for \( k = \frac{n}{100} \).",not sure,"['neutral', 'neutral']",maybe
3,797,B,TRUE,2018,A,B,2-a,T3/ds18AB-Sol.pdf,TAU,3,"\begin{enumerate}
    \item Given a valid binary min-heap with $n$ elements, at which levels in the tree can the second smallest element be located?
    \item What is the minimum number of elements you would need to read in order to guarantee finding the second smallest element?
    (For the purpose of numbering, the level of the root is 0)
\end{enumerate}",na,"\textit{Levels: At level 1. \\
Minimum number of places: 2, the minimum element can only be at level 1 and at level 1 there are two elements.}",na,h,tested,,"בהינתן ערימת מינימום בינארית חוקית בת n איברים, באילו רמות בעץ יכול להיות ממוקם האיבר השני הקטן ביותר?
מה מספר האיברים המינימלי שתצטרכו לקרוא כדי להבטיח את מציאת האיבר השני הקטן ביותר?
(לצורך המספור, הרמה של השורש היא 0 )","רמות: ברמה 1 .
מספר מינימלי של מקומות: 2, האיבר המינימלי יכול להיות רק ברמה 1 וברמה 1 יש שני איברים.",,,,,"\begin{enumerate}
    \item Given a valid binary min-heap with $n$ elements, at which levels in the tree can the second smallest element be located?
    
    \textbf{Solution:} 
    The second smallest element in a min-heap can be located at levels 1 and 2 in the tree. 
    
    \item What is the minimum number of elements you would need to read in order to guarantee finding the second smallest element?
    
    \textbf{Solution:}
    In order to guarantee finding the second smallest element, you would need to read at least $\lceil \log_{2}(n+1) \rceil$ elements in the heap.
\end{enumerate}",not correct,"['neutral', 'entailment']",no
4,798,B,TRUE,2018,A,B,2-b,T3/ds18AB-Sol.pdf,TAU,2,"Given a valid binary minimum heap of n elements, on which levels of the tree can the third smallest element be placed?",na,\text{Levels: Level 1 or 2.},na,h,tested,,"בהינתן ערימת מינימום בינארית חוקית בת n איברים. באילו רמות בעץ יכול להיות ממוקם האיבר
השלישי בקטן ביותר?",רמות: ברמה 1 או 2 .,,,,,"To find on which levels of the tree the third smallest element can be placed, we need to consider the structure of a binary minimum heap.

A binary minimum heap is a complete binary tree where each node is smaller than its children. Thus, the smallest element will be at the root of the tree (level 0), the next smallest element will be at level 1, and so on.

For a binary minimum heap of n elements, the number of nodes at a given level i is given by 2^i. Therefore, to find on which levels the third smallest element can be placed, we need to determine the level on which the 3rd smallest element's parent is located. This can be done by considering the fact that the first two smallest elements must be in the first two levels of the tree, and their parent must be at level 1.

Thus, the third smallest element must be placed on level 2 or below. Therefore, the third smallest element can be placed on level 2, 3, 4,..., h, where h is the height of the binary minimum heap.

Therefore, the third smallest element can be placed on any level starting from level 2 up to the height of the binary minimum heap.",not correct,"['entailment', 'entailment']",no
5,800,C,TRUE,2018,A,B,3,T3/ds18AB-Sol.pdf,TAU,7,"Given an array of size \( n \) of elements \((\text{key}, \text{value})\) where the number of distinct keys in the array is \( k \) (i.e., if we convert the keys in the array into a set, the set will be of size \( k \)). We want to sort the array in the comparison model so that the sorting will be stable.
Reminder: A sort is called stable if it maintains the order of elements with the same key after sorting.
Note: Without addressing stability in the explanation of the solution, only partial credit will be given.
a. When \( k = \sqrt{n} / \log n \), the array can be stably sorted in time \( O(\sqrt{n} \log n) \) using a balanced search tree.
b. When \( k = \log n \), the array can be stably sorted in time \( O(n \log \log \log n) \) using a balanced search tree.
c. When \( k = n / \log n \), the array can be stably sorted with complexity \( O(n) \) on average using a hash table.
d. When \( k = n \), the array can be stably sorted with complexity \( O(n \log \log n) \) on average using a hash table.",c,"\textbf{Solution:} c. \textbf{Explanation:} Initialize a hash table $A$ of size at least $k$ (with the goal that for each key, it will hold a pointer to a linked list of the elements in the array with the same key, in the order they appear in the array). Additionally, initialize an array $B$ of size $k$. Traverse the original array in order, and for each element, search $A$ by $key$. If it exists, append the element to the end of the linked list that the element points to. If it does not exist, add the key, initialize a linked list for that key, and insert the element there. Additionally, during traversal, if when searching for the key it is not found, add the key to array $B$. Sort the array $B$ in time $O((n\log n) \cdot \log(n\log n)) = O(n)$. Traverse $B$ in order, search for the corresponding linked list in the hash table, and append the linked list elements in order to the original array (or to a new output array).",4,"d,k",tested,,"נתון מערך בגודל 𝑛 של איברים (𝑘𝑒𝑦,𝑣𝑎𝑙𝑢𝑒) כאשר מספר המפתחות השונים במערך הוא 𝑘 )כלומר, אם נמיר את המפתחות במערך לקבוצה, הקבוצה תהיה בגודל 𝑘(. נרצה למיין את המערך במודל ההשוואות, כך שהמיון יהיה יציב.
תזכורת: מיון נקרא מיון יציב אם הוא שומר על הסדר של איברים עם אותו המפתח גם לאחר המיון.
שימו לב: ללא התייחסות ליציבות בהסבר הפתרון, יינתן ניקוד חלקי בלבד.
א. כאשר 𝑘=√𝑛/log𝑛 ניתן למיין יציב את המערך בזמן O(√𝑛log𝑛) בעזרת עץ חיפוש מאוזן.
ב. כאשר 𝑘=log𝑛 ניתן למיין יציב את המערך בזמן (O(𝑛logloglog𝑛 בעזרת עץ חיפוש מאוזן.
ג. כאשר 𝑘=𝑛/log𝑛 , ניתן למיין יציב את המערך בסיבוכיות (O(𝑛 בתוחלת בעזרת טבלת האש.
ד. כאשר 𝑘=𝑛 , ניתן למיין יציב את המערך בסיבוכיות O(𝑛loglog𝑛) בתוחלת בעזרת טבלת האש.","פתרון: ג. הסבר: נאתחל טבלת האש A בגודל לפחות 𝑘 (במטרה שעבור כל מפתח יחזיק מצביע לרשימה מקושרת של האיברים במערך עם אותו המפתח, לפי סדר הופעתם במערך). בנוסף נאתחל מערך B בגודל 𝑘 .
נעבור על המערך המקורי לפי הסדר, ועבור כל איבר, נחפש ב A לפי 𝑘𝑒𝑦 . אם הוא קיים, נכניס את האיבר לסוף הרשימה המקושרת שהאיבר מצביע אליו. אם הוא לא קיים, נוסיף את המפתח, ונאתחל עבור אותו המפתח רשימה מקושרת ונכניס את האיבר לשם. בנוסף בזמן המעבר, אם כאשר אנחנו מחפשים אנחנו לא מוצאים את המפתח, נוסיף את המפתח למערך B . נמיין את המערך B , בזמן 𝑂((𝑛\log𝑛)*log(𝑛\log𝑛))=𝑂(𝑛) . נעבור על B לפי הסדר, נחפש את
הרשימה המקושרת המתאימה למפתח בטבלת ההאש, ונוסיף את איברי הרשימה המקושרת לפי הסדר למערך המקורי (או למערך פלט חדש).",,,,,"a. When \( k = \sqrt{n} / \log n \), the array can be stably sorted in time \( O(\sqrt{n} \log n) \) using a balanced search tree.

b. When \( k = \log n \), the array can be stably sorted in time \( O(n \log \log \log n) \) using a balanced search tree.

c. When \( k = n / \log n \), the array can be stably sorted with complexity \( O(n) \) on average using a hash table.

d. When \( k = n \), the array can be stably sorted with complexity \( O(n \log \log n) \) on average using a hash table.",not relevant,"['neutral', 'entailment']",
6,801,C,TRUE,2018,A,B,4-a,T3/ds18AB-Sol.pdf,TAU,4,"\begin{quote}
After looking at the hash table using the chaining method, we thought it would be a good idea to change our choice of data structure (from a linked list to another data structure) to achieve better asymptotic complexity for insertion, search, and deletion from the hash table, even in the worst case (for any load factor), and on average (for load factor > 1). We denote load factor = \(\alpha\). Which data structure should we choose?

A. Binary heap. \\
B. Perfect hash table. \\
C. Array-based list that doubles in size. \\
D. Balanced search tree, such as AVL.
\end{quote}",d,"\textbf{d. Explanation:} We want to choose a balanced tree that will give us \(O(\log \alpha)\) expected per operation, and \(O(\log n)\) in the worst case.",4,"d,f,g,h",tested,,"לאחר שהסתכלנו על טבלת האש בשיטת Chaining , חשבנו שכדאי לנו להחליף את בחירת מבנה הנתונים (מרשימה מקושרת, למבנה נתונים אחר) כדי להשיג סיבוכיות אסימפטוטית טובה יותר בהכנסה, חיפוש ומחיקה מטבלת ההאש, גם במקרה הגרוע ביותר (לכל 𝑙𝑜𝑎𝑑𝑓𝑎𝑐𝑡𝑜𝑟 (, וגם בתוחלת (עבור 𝑙𝑜𝑎𝑑𝑓𝑎𝑐𝑡𝑜𝑟>1 ). נסמן 𝑙𝑜𝑎𝑑𝑓𝑎𝑐𝑡𝑜𝑟=𝛼.  איזה מבנה נתונים כדאי לנו לבחור?
א. ערימה בינארית.
ב. טבלת Perfect Hash .
ג. רשימה במימוש מערך המכפיל את עצמו.
ד. עץ חיפוש מאוזן, לדוגמה AVL","ד. הסבר: נרצה לבחור עץ מאוזן, שייתן לנו 𝑂(log𝛼) בתוחלת לפעולה, ו( 𝑂(log𝑛 ב wc.",,,,,"\begin{quote}
After looking at the hash table using the chaining method, we thought it would be a good idea to change our choice of data structure (from a linked list to another data structure) to achieve better asymptotic complexity for insertion, search, and deletion from the hash table, even in the worst case (for any load factor), and on average (for load factor > 1). We denote load factor = $\alpha$. Which data structure should we choose?

A. Binary heap. \\
B. Perfect hash table. \\
C. Array-based list that doubles in size. \\
D. Balanced search tree, such as AVL.
\end{quote}",not relevant,"['neutral', 'neutral']",
7,803,C,TRUE,2018,A,B,4-c,T3/ds18AB-Sol.pdf,TAU,4,"After looking at the hash table using the Chaining method, we thought it would be advisable to change our data structure choice (from a linked list to another data structure) in order to achieve better asymptotic complexity for insertion, search, and deletion from the hash table, even in the worst case (for any load factor), and also on average (for a load factor > 1). Let us denote load factor = \(\alpha\). What is the average complexity of insertion/search/deletion, depending on \(\alpha = \text{load factor}\)? (The tightest answer.)

A. \(O(\log \log \alpha)\)
B. \(O(\alpha \log \alpha)\)
C. \(O(\alpha)\)
D. \(O(\log \alpha)\)",d,"\textbf{D. Explanation}: For a balanced tree, the average complexity of an operation will be the expectation of (log of the number of elements in the cell). From the reminder, we obtain that the above expression is less than or equal to the log of (the expected number of elements in the cell). As is known, the expected number of elements in the cell is \(\alpha\), and therefore we obtain that the average complexity is \(\log \alpha\). The expectation is over the hash functions from the universal family.",4,"a,d,f,g,h",tested,,"לאחר שהסתכלנו על טבלת האש בשיטת Chaining , חשבנו שכדאי לנו להחליף את בחירת מבנה הנתונים (מרשימה מקושרת, למבנה נתונים אחר) כדי להשיג סיבוכיות אסימפטוטית טובה יותר בהכנסה, חיפוש ומחיקה מטבלת ההאש, גם במקרה הגרוע ביותר (לכל 𝑙𝑜𝑎𝑑𝑓𝑎𝑐𝑡𝑜𝑟 (, וגם בתוחלת (עבור 𝑙𝑜𝑎𝑑𝑓𝑎𝑐𝑡𝑜𝑟>1 ). נסמן 𝑙𝑜𝑎𝑑𝑓𝑎𝑐𝑡𝑜𝑟=𝛼. מה הסיבוכיות בתוחלת של הכנסה/חיפוש/הוצאה, כתלות ב 𝛼=𝑙𝑜𝑎𝑑𝑓𝑎𝑐𝑡𝑜𝑟 ? )התשובה ההדוקה ביותר).
א. ( 𝑂(loglog𝛼
ב. (𝑂(𝛼log𝛼
ג. 𝑂(𝛼)
ד. 𝑂(log𝛼)","ד. הסבר: עבור עץ מאוזן, הסיבוכיות בתוחלת של פעולה תהיה תוחלת של ( log מספר האיברים בתא). מהתזכורת נקבל שהביטוי הנ""ל קטן או שווה ל- log של (תוחלת מספר האיברים בתא). כידוע, תוחלת מספר האיברים בתא הוא 𝛼 , ולכן נקבל שהסיבוכיות בתוחלת היא log𝛼⁡ . התוחלת היא על פוקנציות ההאש מהמשפחה האוניברסלית.",,,,,"The average complexity of insertion, search, and deletion in a hash table using Chaining method can be calculated as \(O(1 + \alpha)\) where \(\alpha\) is the load factor.

Therefore, the correct answer is:

C. \(O(\alpha)\)",not correct,"['neutral', 'neutral']",maybe
8,804,C,TRUE,2018,A,B,5,T3/ds18AB-Sol.pdf,TAU,9,"\begin{quote}
In class, we learned about a deterministic \textit{select} that performed a \textit{partition} using a \textit{pivot} chosen by the median-of-medians algorithm. Assume that instead of the aforementioned \textit{pivot}, you received a new algorithm called \textit{GoodPivot} that takes an array containing \( n \) keys and returns the value of the \( 0.05n \)-th smallest element. For example, on an array of size 1000, it will return the value of the 50th smallest key. \textit{GoodPivot} does not call \textit{select} (unlike the median-of-medians algorithm). Assume the running time of \textit{GoodPivot} is bounded by \( c_1 \times n \), and the running time of \textit{partition} is bounded by \( c_2 \times n \). We are interested in the cost of \textit{select} using \textit{GoodPivot}. Choose the tightest answer. The running time of the algorithm is bounded by:
a. \( cn \)
b. \( c n \log n \)
c. \( cn^2 \)
Provide a proof by induction and the lowest value of \( c \) (as a function of \( c_1, c_2 \), and the problem data).
\end{quote}",a,"The tightest bound is: A. The value c is: 20. Proof: Induction - \( T(n) < (c_1+c_2)n + t(0.95n) \) 
\( T(n) < (c_1+c_2)n + 0.95 \times 20 (c_1+c_2)n = 20(c_1+c_2)n \)",3,m,tested,,"בכיתה למדנו על 𝑠𝑒𝑙𝑒𝑐𝑡 דטרמיניסטי שביצע 𝑝𝑎𝑟𝑡𝑖𝑡𝑖𝑜𝑛 תוך שמוש ב 𝑝𝑖𝑣𝑜𝑡 שנבחר על ידי אלגוריתם חציון-החציונים.
הניחו שבתור תחליף ל 𝑝𝑖𝑣𝑜𝑡 הנ""ל קיבלתם אלגוריתם חדש הנקרא 𝐺𝑜𝑜𝑑𝑃𝑖𝑣𝑜𝑡 המקבל מערך המכיל 𝑛 מפתחות ומחזיר את הערך של האיבר ה 0.05𝑛 הקטן ביותר. לדוגמה על מערך בגודל 1000 הוא יחזיר את ערך המפתח ה 50 הקטן ביותר. 𝐺𝑜𝑜𝑑𝑃𝑖𝑣𝑜𝑡 אינו קורא ל 𝒔𝒆𝒍𝒆𝒄𝒕 )בנגוד לאלגוריתם חציון החציונים). הניחו שזמן הריצה של 𝐺𝑜𝑜𝑑𝑃𝑖𝑣𝑜𝑡 חסום על ידי 𝑐1*𝑛 זמן הריצה של 𝑝𝑎𝑟𝑡𝑖𝑡𝑖𝑜𝑛 חסום על ידי 𝑐2*𝑛 . אנחנו מעוניינים בעלות של select המשתמש ב 𝐺𝑜𝑜𝑑𝑃𝑖𝑣𝑜𝑡 .
בחרו את התשובה ההדוקה ביותר.
זמן הריצה של האלגוריתם חסום על ידי:
א. 𝑐𝑛
ב. 𝑐⁡𝑛𝑙𝑜𝑔𝑛
ג. 𝑐𝑛2
ספקו הוכחה באינדוקציה ואת ערכו של 𝐜 הנמוך ביותר (כפונקציה של 𝑐1,𝑐2 ונתוני הבעייה).","החסם ההדוק ביותר הינו: א. הערך הינו c הינו: 20. הוכחה: אינדוקציה - T(n) < (c1+c2)n + t(0.95n)
T(n) < (c1+c2)n + 0.95*20 (c1+c2)n = 20(c1+c2)n",,,,,"\textbf{Solution:}

Let's denote the running time of the \textit{select} algorithm using \textit{GoodPivot} for an array of size \(n\) as \(T(n)\). 

We know that the running time of \textit{GoodPivot} is bounded by \(c_1 \times n\) and the running time of \textit{partition} is bounded by \(c_2 \times n\). 

In the \textit{select} algorithm using \textit{GoodPivot}, we first need to find the \(0.05n\)-th smallest element using \textit{GoodPivot}. After finding this element and partitioning the array, we recursively call \textit{select} on one of the partitions. 

Therefore, the recursive equation for the running time can be expressed as:

\[T(n) = c_1n + c_2n + T(\frac{19n}{20})\]

Now, we will prove by induction that the running time of the algorithm is bounded by \(cn\log n\).

\textbf{Base Case:} 
For \(n = 1\), the running time is a constant, which is less than or equal to some constant multiple of \(n\log n\).

\textbf{Inductive Hypothesis:}
Assume that for any \(k < n\), \(T(k) \leq ck\log k\) for some \(c > 0\).

\textbf{Inductive Step:}
Consider \(T(n)\) using the recursive equation above:

\[T(n) = c_1n + c_2n + T(\frac{19n}{20})\]

Using the inductive hypothesis, we have:

\[T(\frac{19n}{20}) \leq c\left(\frac{19n}{20}\right)\log\left(\frac{19n}{20}\right)\]

Solving the above inequality will give us the value of \(c\) as a function of \(c_1, c_2\) and the problem data.

Therefore, by induction, we can conclude that the running time of the algorithm is bounded by \(cn\log n\).",not correct,"['entailment', 'entailment']",no
9,805,C,TRUE,2018,A,B,6-a,T3/ds18AB-Sol.pdf,TAU,5,"In order to improve \texttt{quicksort}, a new function \texttt{GreatPivot} has been created. It receives an array containing $n$ keys and returns a random value that is uniformly distributed among all key values that are greater than or equal to the $\lceil 0.05n \rceil$-th largest and less than or equal to the $\lfloor 0.95n \rfloor$-th largest element. The \texttt{partition} function performs the partitioning using this value. In other words, unlike \texttt{randpartition}, which selects a pivot randomly from all elements, this choice is restricted to only 90\% of the elements mentioned above.

The cost of \texttt{greatpivot} is $O(1)$, and the cost of \texttt{partition} is linear. The time complexity of \texttt{quicksort} when using \texttt{partition} and \texttt{GreatPivot} is, in the worst case:
\begin{enumerate}
  \item $\Theta(n)$
  \item $\Theta(0.9n)$
  \item $\Theta(n \log n)$
  \item $\Theta(n^2)$
\end{enumerate}",c,"The complexity is: \( \theta(n \log n) \). Proof:  
The depth of the tree is bounded from above by \(\log_{1/0.95} n\) and from below by \(\log_{1/0.05} n\). That is, between these depths, the width of the layer is partial. Therefore, the bounds on the total width of all layers are \(n \log_{1/0.95} n\) and \(n \log_{1/0.05} n\).",4,j,tested,,"במטרה לשפר את 𝑞𝑢𝑖𝑐𝑘𝑠𝑜𝑟𝑡 יוצרה פונקציה חדשה 𝐺𝑟𝑒𝑎𝑡𝑃𝑖𝑣𝑜𝑡 המקבלת מערך המכיל n מפתחות ומחזירה ערך אקראי המתפלג יוניפורמית בין כל ערכי המפתחות שהם גדולים או שווים לאיבר ה ⌈0.05n⌉ בגודלו וקטנים או שווים מהאיבר ה ⌊0.95𝑛⌋ בגודלו. הפונקציה 𝑝𝑎𝑟𝑡𝑖𝑡𝑖𝑜𝑛 מבצעת את החלוקה על ערך זה. במילים אחרות בניגוד ל 𝑟𝑎𝑛𝑑𝑝𝑎𝑟𝑡𝑖𝑡𝑖𝑜𝑛 , שבוחר פיבוט באקראי מכל האיברים, בחירה זו מתפרשת רק על 90% מהאיברים שצוינו לעיל.
עלותה של 𝑔𝑟𝑒𝑎𝑡𝑝𝑖𝑣𝑜𝑡 הינה (1)O ועלות ה 𝑝𝑎𝑟𝑡𝑖𝑡𝑖𝑜𝑛 היא לינארית.
סיבוכיות 𝑞𝑢𝑖𝑐𝑘𝑠𝑜𝑟𝑡 בשימוש ב 𝑝𝑎𝑟𝑡𝑖𝑡𝑖𝑜𝑛 וב 𝐺𝑟𝑒𝑎𝑡𝑃𝑖𝑣𝑜𝑡 הינה ב Worst case :
א. Θ(𝑛)
ב. Θ(0.9𝑛)
ג. Θ(𝑛𝑙𝑜𝑔𝑛)
ד. Θ(𝑛^2)","הסיבוכיות הינה: 𝜃(𝑛𝑙𝑜𝑔𝑛). הוכחה:
עומק העץ חסום מלמעלה על ידי 𝑙𝑜𝑔1/0.95𝑛 ומלמטה על ידי 𝑙𝑜𝑔1/0.05𝑛 . כלומר בין העומקים האלו רוחב השכבה הוא חלקי. לכן חסמים של רוחב כולל של כל השכבות הינם 𝑛𝑙𝑜𝑔1/0.95𝑛 𝑛𝑙𝑜𝑔1/0.05𝑛",,,,,The time complexity of quicksort when using partition and GreatPivot is $\Theta(n \log n)$.,correct,"['neutral', 'neutral']",maybe
