,Column 1,question_type,exam_year,semester,moed,question_number,url,points,question_translation_latex,multiple_choice_answer,topics_covered,dataset,question_in_hebrew,answer_in_hebrew,answer_translation_latex,chat_answer,is_chat_correct,is_ptbs_good,chat_answer_new
3,95,C,2004,a,a,8,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,7,"\noindent
Modify the QuickSort algorithm as follows: the pivot element will be selected by choosing the $n/4$ order statistic, using the Select function. The running time of the new algorithm will be:
\begin{itemize}
    \item[(a)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n)$
    \item[(b)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n^2)$ 
    \item[(c)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n\log(n))$
    \item[(d)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n\log(n))$
    \item[(e)] W.C.- $\Theta(n^{0.25}\log(n))$, Expected - $\Theta(n^{0.25}\log(n))$ 
    \item[(f)] W.C.- $\Theta(n^2\log(n))$, Expected - $\Theta(n^2\log(n))$
\end{itemize}",D,j,tested,"נשנה את אלגוריתם QuickSort באופן הבא: בחירת איבר הציר (Pivot) תבוצע על ידי בחירת הסדר הסטטיסטי ה-n/4 , בעזרת פונקצית Select.    זמן ריצת האלגוריתם החדש יהיה:
א. W.C.- θ(nlog(n)), Expectet -θ(n)
ב. W.C.- θ(n^2), Expectet -θ(n^2) 
ג. W.C.- θ(n^2), Expectet -θ(nlog(n))
ד. W.C.- θ(nlog(n)), Expectet -θ(nlog(n))
ה. W.C.- θ(n^0.25log(n)), Expectet -θ(n^0.25log(n)) 
ו. W.C.- θ(n^2log(n)), Expectet -θ(n^2log(n))","ד. 
זמן הריצה יהיה זהה למקרה הגרוע ולמקרה הממוצע – למעשה לא יושפע מהקלט או מהגרלות.
נוסחת הנסיגה: T(n) = T(3n/4) + T(n/4) + Θ(n) (עד כדי עיגול לשלמים).","The correct answer is D.\\

The runtime will be the same for the worst case and the average case – it will not actually be affected by the input or random choices.
The recurrence formula: \( T(n) = T\left(\frac{3n}{4}\right) + T\left(\frac{n}{4}\right) + \Theta(n) \) (rounded to integers).","The solution in latex format is as follows:

\begin{itemize}
    \item[(a)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n)$
    \item[(b)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n^2)$ 
    \item[(c)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n\log(n))$
    \item[(d)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n\log(n))$
    \item[(e)] W.C.- $\Theta(n^{0.25}\log(n))$, Expected - $\Theta(n^{0.25}\log(n))$ 
    \item[(f)] W.C.- $\Theta(n^2\log(n))$, Expected - $\Theta(n^2\log(n))$
\end{itemize}",question,yes,"(d) W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n\log(n))$"
10,119,C,2005,a,a,6,https://docs.google.com/document/d/1Ze9Vu1t-M8eGfSRY5m6GdpbIz9KUxnzN,8,"\noindent Let \( T \) be an AVL tree with \( n \) nodes. The height of a node is defined as the length of the longest path (in edges) from it to a leaf. For example, the height of a leaf is 0. Let \( m \) be the node that contains the minimum value in the tree. Then the height of \( m \) in \( T \) is: 

\begin{enumerate}
    \item necessarily \( 0 \).
    \item less than or equal to \( 1 \).
    \item exactly \( 1 \).
    \item less than or equal to \( 2 \).
    \item possibly \(\Theta(\log(n))\).
    \item possibly \(\Theta(n)\).
\end{enumerate}",B,f,tested,"יהא T עץ AVL בעל n  צמתים. גבהו של צמת מוגדר כאורך המסלול (בקשתות) הארוך ביותר ממנו לעלה. לדוגמה – גבהו של עלה הינו 0. יהא m  הצומת שמכיל את ערך המינימום בעץ. אזי גבהו של m  ב-T הינו: 

א. בהכרח 0.
ב. קטן מ או שווה ל 1. 
ג. בדיוק 1.
ד. קטו מ או שווה ל 2.
ה. יכול להיות θ(log(n)).
ו. יכול להיות θ(n).","ב. למינימום אין בן שמאלי. לכן הוא עלה או צומת עם בן ימני שחייב, לפי הגדרת AVL , להיות עלה.","
b. The minimum has no left child. Therefore, it is a leaf or a node with a right child that must, according to the AVL definition, be a leaf.
","\begin{enumerate}
    \item necessarily \( 0 \).
    \item less than or equal to \( 1 \).
    \item exactly \( 1 \).
    \item less than or equal to \( 2 \).
    \item possibly \(\Theta(\log(n))\).
    \item possibly \(\Theta(n)\).
\end{enumerate}",question,yes,necessarily \( 0 \).
11,120,C,2005,a,a,7,https://docs.google.com/document/d/1Ze9Vu1t-M8eGfSRY5m6GdpbIz9KUxnzN,9,"\noindent Given an array $A$ containing $n$ distinct (unsorted) elements. A min-heap $H$ is given, containing the same elements. We want to take the smallest $n^{0.5}$ elements and sort them in the lowest worst-case time. Let $a(n)$ be the cost of performing the operation (with the best algorithm you know) on $A$ and let $h(n)$ be the cost of performing the operation (with the best algorithm you know) on $H$. Then:
\begin{enumerate}
    \item The cost of execution for both algorithms is identical.
    \item The cost of execution for both algorithms is asymptotically the same, but the constant factor for $a(n)$ is lower.
    \item The cost of execution for both algorithms is asymptotically the same, but the constant factor for $h(n)$ is lower.
    \item $a(n) = o(h(n))$.
    \item $h(n) = o(a(n))$.
\end{enumerate}",5,"d,h",tested,"נתון מערך A ובו n  נתונים שונים זה מזה (לא ממוינים). נתונה ערימת מינימום H ובה אותם נתונים. מעוניינים לקחת את n^0.5 האיברים הקטנים ביותר ולמיינם בזמן Worst case  הנמוך ביותר. יהא a(n)  עלות ביצוע הפעולה (על ידי האלגוריתם הטוב ביותר שהנכם מכירים) על A ותהא h(n)  עלות היבצוע (על ידי האלגוריתם הטוב ביותר שהנכם מכירים)  על H. אזי:  
1. עלות הבצוע של שני האלגורתמים זהה. 
2. עלות הבצוע של שני האלגורתמים בסדר גודל  זהה אבל הקבוע של a(n) נמוך יותר.
3. עלות הבצוע של שני האלגורתמים בסדר גודל  זהה אבל הקבוע של h(n) נמוך יותר.
a(n)=o(h(n .4. )).
h(n)=o(a(n .5)).",ה. על A מבצעים ORDER STAT ואחכ מיון. עלות:  EMBED Equation.3  על H מבצעים  EMBED Equation.3   DELETEMIN . עלות:  EMBED Equation.3,"
5. Perform ORDER STAT on \( A \) and then sort. Cost: \(\Theta(A \log A)\). Perform \(\Theta(H \cdot \log H)\) DELETEMIN on \( H \). Cost: \(\Theta(H \cdot \log H)\).
","\begin{enumerate}
    \item The cost of execution for both algorithms is identical.
    \item The cost of execution for both algorithms is asymptotically the same, but the constant factor for $a(n)$ is lower.
    \item The cost of execution for both algorithms is asymptotically the same, but the constant factor for $h(n)$ is lower.
    \item $a(n) = o(h(n))$.
    \item $h(n) = o(a(n))$.
\end{enumerate}",question,,"The cost of execution for both algorithms is asymptotically the same, but the constant factor for $a(n)$ is lower."
16,169,C,2007,a,a,3,https://docs.google.com/document/d/15av3BYO1sip8j7xbHE3cwGQOEe2WyO9U,7,"\text{Given a max-heap of size } n. \text{ The keys of } $\frac{n}{4}$  of the leaves in the heap have been changed, so now the heap may no longer be valid. We want to make the heap valid with minimal worst-case running time. Assume there is access to the elements of the heap (i.e., the heap is not a black box). The worst-case running time will be: \\
a. \ $\theta(\log(n))$ \\
b. \ $\theta(\log(n)^2)$ \\
c. \ $\theta(n)$ \\
d. \ $\theta(n\log(n)$) \\
e. \ $\theta(n^3)$ \\
f. \ \text{None of the above.}",C,"a,h",tested,"נתונה ערימת מקסימום בגודל n. שינו את המפתחות של n/4 מהעלים בערימה, כך שעכשיו יתכן שהערימה כבר לא חוקית. נרצה להפוך את הערימה לחוקית בזמן ריצה W.C. מינימלי. הניחו שיש גישה לאברי הערימה (כלומר הערימה לא קופסה שחורה).
זמן הריצה W.C. יהיה:
א. θ(log(n))
ב. θ(log(n)^2) 
ג. θ(n)
ד. θ(nlog(n))
ה. θ(n^3)
ו. אף אחד מהנ""ל.",ג.הזמן שדרוש כדי לגשת לכל אחד מהצמתים ששושנו הוא   EMBED Equation.DSMT4      לכן לא יתכן פתרון מהיר יותר.בזמן   EMBED Equation.DSMT4     אפשר לבצע BuildHeap מחדש על כל האיברים.,"
The time required to access each of the nodes in our list is \( O(n) \), therefore a faster solution is not possible. In \( O(n \log n) \) time, it is possible to perform BuildHeap again on all the elements.
","\text{Given a max-heap of size } n. \text{ The keys of } \frac{n}{4} \text{ of the leaves in the heap have been changed, so now the heap may no longer be valid. We want to make the heap valid with minimal worst-case running time. Assume there is access to the elements of the heap (i.e., the heap is not a black box). The worst-case running time will be:} \\
\text{a. } \theta(\log(n)) \\
\text{b. } \theta(\log(n)^2) \\
\text{c. } \theta(n) \\
\text{d. } \theta(n\log(n) \\
\text{e. } \theta(n^3) \\
\text{f. None of the above.}",question,yes,"f. None of the above. 

The worst-case running time to restore a max-heap with $\frac{n}{4}$ keys of the leaves changed is $\theta(n)$."
21,245,b,2010,b,a,2-d,T2/ds10ba.doc,na,"\documentclass{article}
\usepackage[utf8]{inputenc}
\begin{document}

In this problem, we will sort strings in lexicographic order (dictionary order). A string is a list of characters over a known alphabet. For the sake of simplicity, assume all strings have the same length $t$. A string $s_1$ comes before a string $s_2$ in order if the first character in which they differ is smaller in $s_1$ than in $s_2$. For example, if $s_1=\text{CGTAA}$ and $s_2=\text{CGTCA}$ then $s_1$ comes before $s_2$. Assume that each character in every string can be accessed in constant time. Denote $n$ as the number of strings, and $m$ as the total length of all strings. Note that $m=n \cdot t$. Assume that the strings are given in an array $A$, that is $A[i]$ is a pointer to the $i+1$ string in the array. (Indices in $A$ start from 0.)

The following algorithm, which uses the routines $\text{find-median-char}$ and $\text{partition}$, sorts the strings at locations $k_1,k_1+1,\ldots,k_2$ in array $A$ according to the lexicographic order of the suffixes of these strings starting at position $j$, using comparisons between pairs of characters only. (The suffix of a string consists of the string's characters starting from a certain position $j$ to the end of the string.) To sort all the strings lexicographically, perform $\text{string-sort}(0,n-1,0)$. (The indices of the characters in the strings also start from 0.)

\begin{verbatim}
string-sort(k1,k2,j):
   C \leftarrow \text{find-median-char}(k1,k2,j)
   (p,q) \leftarrow \text{partition}(k1,k2,C,j)
   \text{If} (k1 < p) \text{string-sort}(k1,p-1,j);
   \text{If} (q < k2) \text{string-sort}(q+1,k2,j);
   \text{If} (j < t-1) \text{and} (p < q) \text{string-sort}(p,q,j+1);
\end{verbatim}

The routine $\text{find-median-char}(k1,k2,j)$ returns the median character in the set of characters at position $j$ of the strings at locations $k_1,\ldots,k_2$ in $A$. 

What is the running time of the algorithm as a function of $m$ and $n$, assuming that $\text{find-median-char}(k1,k2,j)$ and $\text{partition}(k1,k2,C,j)$ run in time $O(k_2-k_1)$? Prove your answer.

\end{document}",na,"m,c,j",tested,,,"\begin{quote}
The first two lines require time proportional to the size of the array we are currently dealing with. The first two recursive calls operate on an array whose size is at most half of the original size. The last line advances the letter \( j \) within the strings from \( p \) to \( q \); it is called up to \( t \) times for each string. From an analysis similar to Quicksort, plus \( O(nt) \) work, we get \( O(m+n\log n) \).
\end{quote}","\documentclass{article}
\usepackage[utf8]{inputenc}
\begin{document}

In this problem, we will sort strings in lexicographic order (dictionary order). A string is a list of characters over a known alphabet. For the sake of simplicity, assume all strings have the same length $t$. A string $s_1$ comes before a string $s_2$ in order if the first character in which they differ is smaller in $s_1$ than in $s_2$. For example, if $s_1=\text{CGTAA}$ and $s_2=\text{CGTCA}$ then $s_1$ comes before $s_2$. Assume that each character in every string can be accessed in constant time. Denote $n$ as the number of strings, and $m$ as the total length of all strings. Note that $m=n \cdot t$. Assume that the strings are given in an array $A$, that is $A[i]$ is a pointer to the $i+1$ string in the array. (Indices in $A$ start from 0.)

The following algorithm, which uses the routines $\text{find-median-char}$ and $\text{partition}$, sorts the strings at locations $k_1,k_1+1,\ldots,k_2$ in array $A$ according to the lexicographic order of the suffixes of these strings starting at position $j$, using comparisons between pairs of characters only. (The suffix of a string consists of the string's characters starting from a certain position $j$ to the end of the string.) To sort all the strings lexicographically, perform $\text{string-sort}(0,n-1,0)$. (The indices of the characters in the strings also start from 0.)

\begin{verbatim}
string-sort(k1,k2,j):
   C \leftarrow \text{find-median-char}(k1,k2,j)
   (p,q) \leftarrow \text{partition}(k1,k2,C,j)
   \text{If} (k1 < p) \text{string-sort}(k1,p-1,j);
   \text{If} (q < k2) \text{string-sort}(q+1,k2,j);
   \text{If} (j < t-1) \text{and} (p < q) \text{string-sort}(p,q,j+1);
\end{verbatim}

The routine $\text{find-median-char}(k1,k2,j)$ returns the median character in the set of characters at position $j$ of the strings at locations $k_1,\ldots,k_2$ in $A$. 

What is the running time of the algorithm as a function of $m$ and $n$, assuming that $\text{find-median-char}(k1,k2,j)$ and $\text{partition}(k1,k2,C,j)$ run in time $O(k_2-k_1)$? Prove your answer.

\end{document}",question,,"The running time of the algorithm is $O(m \log n)$. 

Proof: 
- The algorithm divides the strings into two parts using the median character at position $j$. This division takes $O(n)$ time as finding the median character involves comparing each character at position $j$ in all strings. 
- After the division, the algorithm recursively sorts the two parts. Since the division is based on characters at position $j$, the algorithm needs to perform $O(t)$ comparisons at each level of recursion. 
- There are $\log n$ levels of recursion since in each level the number of strings being sorted is halved. 
- Therefore, the total number of comparisons is $O(n \cdot t \cdot \log n) = O(m \log n)$. 

Thus, the running time of the algorithm is $O(m \log n)$."
24,250,b,2010,b,a,4-b,T2/ds10ba.doc,na,"\documentclass{article}
\begin{document}

In this question, we analyze a new deterministic algorithm for the Selection problem. The algorithm selects the k-th largest element from a set $A$ with $n$ distinct elements.

If $n<100$, the algorithm sorts the $n$ elements and returns the k-th largest element.

Otherwise, the algorithm divides the elements into quartets. The algorithm sorts each quartet and chooses from it the third largest element. (If the quartet is $a<b<c<d$, then the chosen element is $c$.) Let $B$ be the set of chosen elements.

Among the $m=n/4$ elements of $B$, the algorithm selects, by a recursive call, the $(2/5)m$-th largest element. Let this element be $x$. ($x$ is greater than or equal to $(2/5)m$ of the elements of $B$.)

The element $x$ is now compared to all the elements of $A$. Let $A_1$ be the elements of $A$ that are less than or equal to $x$, and $A_2$ be the elements of $A$ that are greater than $x$. Also, let $r=|A_1|$.

If $k\leq r$, the algorithm finds, by a recursive call, the k-th largest element in $A_1$ and returns it. Otherwise, the algorithm finds, by a recursive call, the $(k−r)$-th largest element in $A_2$ and returns it.

You can ignore partition issues. (It is possible, when convenient, to assume that $n$ is divisible by 4, that $m$ is divisible by 5, and so on.)
What is the smallest $b$ such that $r\leq bn+O(1)$ always holds? Prove your answer.

\end{document}",na,m,tested,,,\( 1 - \frac{3}{5} \cdot \frac{2}{4} = \frac{7}{10} \),"\documentclass{article}
\begin{document}

In this question, we analyze a new deterministic algorithm for the Selection problem. The algorithm selects the k-th largest element from a set $A$ with $n$ distinct elements.

If $n<100$, the algorithm sorts the $n$ elements and returns the k-th largest element.

Otherwise, the algorithm divides the elements into quartets. The algorithm sorts each quartet and chooses from it the third largest element. (If the quartet is $a<b<c<d$, then the chosen element is $c$.) Let $B$ be the set of chosen elements.

Among the $m=n/4$ elements of $B$, the algorithm selects, by a recursive call, the $(2/5)m$-th largest element. Let this element be $x$. ($x$ is greater than or equal to $(2/5)m$ of the elements of $B$.)

The element $x$ is now compared to all the elements of $A$. Let $A_1$ be the elements of $A$ that are less than or equal to $x$, and $A_2$ be the elements of $A$ that are greater than $x$. Also, let $r=|A_1|$.

If $k\leq r$, the algorithm finds, by a recursive call, the k-th largest element in $A_1$ and returns it. Otherwise, the algorithm finds, by a recursive call, the $(k−r)$-th largest element in $A_2$ and returns it.

You can ignore partition issues. (It is possible, when convenient, to assume that $n$ is divisible by 4, that $m$ is divisible by 5, and so on.)
What is the smallest $b$ such that $r\leq bn+O(1)$ always holds? Prove your answer.

\end{document}",question,,The smallest b is 2/5.
26,252,b,2010,b,a,4-d,T2/ds10ba.doc,na,"\documentclass{article}
\begin{document}

In this question, we will analyze a new deterministic algorithm for the Selection problem. The algorithm selects the k-th largest element from a set A of n different elements.

If \( n < 100 \), the algorithm sorts the n elements and returns the k-th largest element.

Otherwise, the algorithm divides the elements into quartets. The algorithm sorts each quartet and selects from it the third largest element. (If the quartet is \( a < b < c < d \), then the selected element is \( c \).) Let B denote the set of selected elements.

Among the \( m = n/4 \) elements of B, the algorithm selects, by a recursive call, the (2/5)m-largest element. Let this element be denoted by x. (x is greater than or equal to \((2/5)m\) of the elements of B.)

The element x is now compared to all the elements of A. Let \( A_1 \) denote the elements of A that are less than or equal to x, and let \( A_2 \) denote the elements of A that are greater than x. Also denote \( r = |A_1| \).

If \( k \leq r \), the algorithm finds, by a recursive call, the k-th largest element in \( A_1 \) and returns it. Otherwise, the algorithm finds, by a recursive call, the (k-r)-th largest element in \( A_2 \) and returns it.

Division issues can be ignored. (It is possible to assume for convenience that n is divisible by 4, m is divisible by 5, and so on.)
What is the runtime of the algorithm (as a function of n)? (An asymptotic answer in terms of \( O(.) \) is sufficient.)

\end{document}",na,"m,c,a",tested,,,"\text{Since } \frac{1}{4} + \frac{7}{10} < 1, \text{ the analysis is similar to that of the selection algorithm - } O(n).","\documentclass{article}
\usepackage{amsmath}

\begin{document}

In this question, we will analyze a new deterministic algorithm for the Selection problem. The algorithm selects the $k$-th largest element from a set $A$ of $n$ different elements.

If $n < 100$, the algorithm sorts the $n$ elements and returns the $k$-th largest element.

Otherwise, the algorithm divides the elements into quartets. The algorithm sorts each quartet and selects from it the third largest element. (If the quartet is $a < b < c < d$, then the selected element is $c$.) Let $B$ denote the set of selected elements.

Among the $m = n/4$ elements of $B$, the algorithm selects, by a recursive call, the $(2/5)m$-largest element. Let this element be denoted by $x$. ($x$ is greater than or equal to $(2/5)m$ of the elements of $B$.)

The element $x$ is now compared to all the elements of $A$. Let $A_1$ denote the elements of $A$ that are less than or equal to $x$, and let $A_2$ denote the elements of $A$ that are greater than $x$. Also denote $r = |A_1|$.

If $k \leq r$, the algorithm finds, by a recursive call, the $k$-th largest element in $A_1$ and returns it. Otherwise, the algorithm finds, by a recursive call, the $(k-r)$-th largest element in $A_2$ and returns it.

Division issues can be ignored. (It is possible to assume for convenience that $n$ is divisible by 4, $m$ is divisible by 5, and so on.)
What is the runtime of the algorithm (as a function of $n$)? (An asymptotic answer in terms of $O(.)$ is sufficient.)

\end{document}",question,yes,The runtime of the algorithm is \( O(n \log n) \).
39,431,c,2011,b,a,1,T2/ds11-BA-sol.pdf,10,"\begin{enumerate}
    \item A Fibonacci heap is given as learned in class. It is given that it is empty. We perform n insert operations and then two del-min operations. You need to choose the answer that contains:
    \begin{enumerate}
        \item The worst-case running time of the first min-del operation among the two.
        \item The worst-case running time of the second min-del operation among the two.
        \item Justify your answer.
    \end{enumerate}
    
\end{enumerate}

\begin{itemize}
    \item [A.] First w.c \(O(1)\) Second w.c \(O(1)\)
    \item [B.] First w.c \(O(\log n)\) Second w.c \(O(\log n)\)
    \item [C.] First w.c \(O(n)\) Second w.c \(O(n)\)
    \item [D.] First w.c \(O(\log n)\) Second w.c \(O(1)\)
    \item [E.] First w.c \(O(n)\) Second w.c \(O(\log n)\)
    \item [F.] First w.c \(O(n)\) Second w.c \(O(1)\)
\end{itemize}",E,i,tested,,,"\textbf{Answer: h}
After one min-del operation, there will be trees up to degree \(\log n\), at most one of each degree.
Therefore, the successive linking in the next phase will take at most \(\log n\). The first operation
will take \(O(n)\) because each element is in its own tree.","\begin{enumerate}
    \item A Fibonacci heap is given as learned in class. It is given that it is empty. We perform $n$ insert operations and then two del-min operations. You need to choose the answer that contains:
    \begin{enumerate}
        \item The worst-case running time of the first min-del operation among the two.
        \item The worst-case running time of the second min-del operation among the two.
        \item Justify your answer.
    \end{enumerate}
    
\end{enumerate}

\begin{itemize}
    \item [A.] First w.c $O(1)$ Second w.c $O(1)$
    \item [B.] First w.c $O(\log n)$ Second w.c $O(\log n)$
    \item [C.] First w.c $O(n)$ Second w.c $O(n)$
    \item [D.] First w.c $O(\log n)$ Second w.c $O(1)$
    \item [E.] First w.c $O(n)$ Second w.c $O(\log n)$
    \item [F.] First w.c $O(n)$ Second w.c $O(1)$
\end{itemize}",question,yes,B. First w.c \(O(\log n)\) Second w.c \(O(\log n)\) - Fibonacci heap insertion and deletion operations have a worst-case time complexity of \(O(\log n)\) depending on the number of nodes in the heap.
52,496,c,2013,b,a,20,T2/ds13BA-sol.pdf,3,"\begin{enumerate}
    \item Answer true or false to the following statement. (Mark 'a' for true / 'b' for false)
    \item Given only pre-order and post-order traversals, a general binary tree can be uniquely reconstructed.
    \begin{itemize}
        \item a. True
        \item b. False
    \end{itemize}
    \item Brief justification:
\end{enumerate}",B,e,tested,,,"\textbf{Answer:} \\
b. Incorrect \\
\textbf{Brief explanation:} A counterexample - X is the root, in one tree Y is the right child, and in another tree Y is the left child.","\begin{enumerate}
    \item Answer true or false to the following statement. (Mark 'a' for true / 'b' for false)
    \item Given only pre-order and post-order traversals, a general binary tree can be uniquely reconstructed.
    \begin{itemize}
        \item a. True
        \item b. False
    \end{itemize}
    \item Brief justification:
\end{enumerate}",question,yes,"b. False

Given only pre-order and post-order traversals, a general binary tree cannot be uniquely reconstructed."
55,594,B,2017,a,a,1-a,T3/ds17AA-sol.pdf,na,"\begin{enumerate}
    \item Given an array containing n elements. The number of distinct elements is k (𝑛 ≤ 𝑘).
    \item Sort the following asymptotic orders without explanation (𝑛 ≤ 𝑘):
    \begin{itemize}
        \item n \log n,
        \item n,
        \item n \log k,
        \item n + k \log k,
        \item n^2
    \end{itemize}
\end{enumerate}",na,a,tested,"נתון מערך המכיל n איברים. מספר האיברים השונים הוא k (𝑛 ≤ 𝑘).
א. מיינו ללא הסבר את סדרי הגודל הבאים אסימפטוטית (𝑛 ≤ 𝑘):
nlogn, n, nlogk, n+klogk, n^2","n^2, nlogn, nlogk, n+klogk,n","n^2, n\log{n}, n\log{k}, n+k\log{k}, n","\begin{enumerate}
    \item Given an array containing $n$ elements. The number of distinct elements is $k$ ($n \leq k$).
    \item Sort the following asymptotic orders without explanation ($n \leq k$):
    \begin{itemize}
        \item $n \log n$,
        \item $n$,
        \item $n \log k$,
        \item $n + k \log k$,
        \item $n^2$
    \end{itemize}
\end{enumerate}",question,yes,"n, n log n, n log k, n + k log k, n^2"
