question_type,has_solution,exam_year,semester,moed,question_number,url,data_resource,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,number_of_possible_answers,topics_covered,dataset,translated_separately,question_in_hebrew,answer_in_hebrew,orig_answer_in_eng,should_translate,question_id,comments,is_relevant
D,FALSE,2001,a,b,1,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"\textit{In a sequence of \(N\) Insert operations into a 2-3 tree (initially empty), let \(F(N)\) be the number of times a node split is performed in the tree when inserting \(N\) elements, in the worst case. Let \(G(N)\) be the total number of computer operations, when inserting \(N\) elements, in the worst case.}

\textit{What is the tightest upper bound on the ratio \(G(N)/F(N)\)?}

\begin{enumerate}
    \item \(\theta(1)\)
    \item \(\theta(\log(N))\)
    \item \(\theta(N)\)
    \item \(\theta(N \log(N))\)
    \item \(\theta\left(\frac{N}{\log(N)}\right)\)
\end{enumerate}

",na,na,na,"a, f",tested,1,"בסדרה של N פעולות Insert לעץ 2-3 (ריק מלכתחילה)
יהא F(N) מספר הפעמים שבוצע פיצול של צומת בעץ בהכנסת N איברים, במקרה הגרוע ביותר.
יהא G(N) מספר פעולות המחשב הכולל, בהכנסת N איברים, במקרה הגרוע ביותר. 

מה החסם העליון ההדוק ביותר ליחס  G(n)/F(n)?
א. θ(1)
ב. θ (Log(N))
ג. θ (N)
ד. θ (NLog(N))
ה. θ (N/Log(N))",na,,,,,
D,FALSE,2001,a,b,2,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"```latex
Given a minimum heap of size \(N\), we want to convert it into a red-black tree. This can be done in worst-case time of:
a. \(\theta(\log(N))\)
b. \(\theta(N)\)
c. \(\theta(N \log(N))\)
d. \(\theta(N \log(N) \log(N))\)
e. None of the above (except e).
```",na,na,na,"a,f,h",na,1,"נתונה ערמת מינימום (heap min) בגודל N. רוצים להופכה לעץ אדום שחור. ניתן לבצע זאת בזמן    worst case  של:
א. θ (Log(N))
ב. θ (N)
ג. θ ( NLog(N))
ד.  θ ( NLog(N)Log(N))
ה.  אף תשובה אינה נכונה (למעט ה').",na,,,,,
D,FALSE,2001,a,b,3,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"To translate the text to English in LaTeX format, we can use the \texttt{document} environment with the appropriate syntax:

```latex
\documentclass{article}
\usepackage[utf8]{inputenc}

\begin{document}

Given an arbitrary min heap structure of size $N$. For an arbitrary $K$, we want to find the $K^{th}$ smallest element and the $K^{th}$ largest element. The worst-case running time of the best algorithm to find these two elements, depending on $K$ and $N$, is:

a. $\Theta(\log(N))$

b. $\Theta(N)$

c. $\Theta(N \log(N))$

d. $\Theta(K \log(K))$

e. $\Theta(\min \{ N, K \log(N) \})$

f. $\Theta((N-K) \log(N-K))$

\end{document}
```

In this translation, I maintained the Hebrew text's meaning and structure while using LaTeX syntax for mathematical expressions and text formatting.",na,na,na,"a,h",na,1,"נתון מבנה Heap min שרירותי בגודל N. עבור K שרירותי רוצים למצוא את האיבר ה-K הקטן ביותר  ואת האיבר ה-K הגדול ביותר  . זמן הריצה ב-worst case, של האלגוריתם הטוב ביותר למציאת שני האיברים האלו בתלות ב-K ו-N, הינו:
א. θ (Log(N))
ב. θ (N)
ג. θ ( NLog(N))
ד. θ ( KLog(K)) 
ה. θ (MIN{N, KLog(N)})
ו. θ ( (N-K)Log(N-K))",na,,,,,
D,FALSE,2001,a,b,4,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"To translate the text to English and format it in LaTeX, you can use the following code:

```latex
\documentclass{article}
\usepackage[utf8]{inputenc}

\begin{document}

Given an array of size \(n^3\) where each value appears exactly twice. The most efficient algorithm for sorting the array, in the comparison model, operates in the worst-case time:

\begin{enumerate}
    \item \(\Omega(n \log(n))\)
    \item \(\Omega(n^3 \log(n))\)
    \item \(\Omega(n^3 \log^3(n))\)
    \item \(\Omega((n \log(n))^3)\)
    \item None of the above.
\end{enumerate}

\end{document}
```

This LaTeX document contains a formatted translation of the Hebrew text, including mathematical expressions correctly displayed in LaTeX syntax.",na,na,na,"a,d,h",na,1,"נתון מערך בגודל n3 שבו כל ערך מופיע בדיוק פעמיים. האלגוריתם היעיל היותר למיון המערך, במודל ההשוואות, פועל במקרה הגרוע בזמן:
א. Ω(n Log(n))
ב. Ω(n3 Log(n))
ג. Ω(n3 Log3(n))
ד. Ω((n Log(n))3)
ה. אף אחד מהנ""ל.",na,,,,,
D,FALSE,2001,a,b,6,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"
Insert \(2n\) elements into a hash table with \(3n\) slots. Each slot holds a single element. In the event of a collision (mapping an element to an occupied slot), the new element is added to a common linked list for all elements.
The expected search time for an unsuccessful search in the structure (i.e., searching for a value \(x\) that does not exist in the structure) is:

\begin{enumerate}
    \item \(\Theta(1)\)
    \item \(\Theta(n)\)
    \item \(\Theta(\log(n))\)
    \item None of the above.
\end{enumerate}
",na,na,na,"a,g",untested,1,"מכניסים 2n איברים לטבלת hash עם 3n תאים. בכל תא מקום לאיבר בודד. במקרה של התנגשות (מיפוי איבר לתא תפוס) מכניסים את האיבר החדש לרשימה מקושרת משותפת לכל האיברים.
תוחלת זמן חיפוש כושל במבנה (כלומר חיפוש ערך x שלא קיים במבנה) היא:

א. Θ(1)
ב. Θ (n)
ג. Θ (log(n))
ד. אף אחד מהנ""ל.",na,,,,,
D,FALSE,2001,a,b,7,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"\noindent Given a sorted array of length $n$. In the worst case, how long does it take to convert the array into a heap using array implementation? 

\begin{enumerate}
    \item $\Theta(1)$
    \item $\Theta(n)$
    \item $\Theta(\log(n))$
    \item $\Theta(n \log(n))$
\end{enumerate}",na,na,na,"a,d,h",tested,1," נתון מערך ממוין באורך n. בכמה זמן במקרה הגרוע ניתן להפוך את המערך לערימה במימוש מערך? 

א. Θ (1)
ב. Θ (n)
ג. Θ (Log(n))
ד. Θ (nLog(n)).",na,,,,,
D,FALSE,2001,a,b,8,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"```latex
Given:
\( f(n) = 2^{\left(\frac{\log(n)}{\log(3)}\right)} \),
\( g(n) = n^2 \)

What is the tightest relationship?
A. \( g(n) = \theta(f(n)) \).
B. \( g(n) = o(f(n)) \).
C. \( g(n) = \omega(f(n)) \).
D. \( g(n) = O(f(n)) \).
E. \( g(n) = \Omega(f(n)) \).
```",na,na,na,a,na,1,"נתון:
f(n) = 2^(log(n)/log(3)), 
g(n) = n^2
מהו היחס ההדוק ביותר?
א. g(n) = θ(f(n)).
ב. g(n) = o(f(n)).
ג. g(n) = ω(f(n)).
ד. g(n) = O(f(n)).
ה. g(n) = Ω(f(n)).",na,,,,,
D,FALSE,2001,a,b,9,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"\text{Solve the following recurrence formula:} \\
$T(n) = 2 \cdot T\left(\frac{n}{2}\right) + n \log(n)^2$, \\
$T(n) = 10$ \text{ for } $n \leq 100$ \\
\text{a. } T(n) = $\Theta(n)$ \\
\text{b. } T(n) = $\Theta(n \log_2 n)$ \\
\text{c. } T(n) = $\Theta(n \log_3 n)$ \\
\text{d. } T(n) = $\Theta(n^2)$ \\
\text{e. None of the above.}",na,na,na,a,untested,1,"פתרו את נוסחת הנסיגה הבאה:
T(n) = 2*T(n/2) + nlog(n)^2,
T(n) = 10 for n <= 100
א.  T(n) = θ(n)
ב.   T(n) = θ(nLog2n)
ג.  T(n) = θ(nLog3n)
ד.  T(n) = θ(n2)
ה.  אף אחד מהנ""ל.",na,,,,,
D,FALSE,2001,a,b,10,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"
Given the following string: “BAOBAB”. 

We want to write it using Huffman coding, which is defined on the letters appearing in the aforementioned string, according to their frequency of appearance in the string.

The length of the encoding (in bits) will be:

a. 6 

b. 9 

c. 10 

d. 12 

e. None of the above.
",na,na,na,p,untested,1,"נתונה המחרוזת הבאה : “BAOBAB”.
רוצים לרשום אותה בעזרת קוד הופמן, אשר מוגדר על האותיות המופיעות במחרוזת הנ""ל, לפי תדירות הופעתן במחרוזת.
אורך הקידוד (בביטים) יהיה:
א. 6
ב. 9
ג. 10
ד. 12
ה. אף אחד מהנ""ל.",na,,,,,
A,FALSE,2001,a,b,11,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"```latex
Take a sorted binary tree (the order of the children from left to right matters, and if there is a single child, it matters whether it is a left or right child). The tree contains \( n \) nodes numbered from 1 to \( n \) in some order. Note that the tree is not necessarily a search tree. Create from this tree two arrays as described below:
An array of length \( n \) describing the DLR order of the tree.
An array of size \( n \), containing at position \( H(k) \) the depth of the node labeled \( k \) (for example, if \( k \) is the root, \( H(k) = 0 \)).
The question: Given only the two arrays mentioned above, is it possible to uniquely reconstruct the tree?
```",na,na,na,na,na,1,"לקחו עץ בינארי מסודר (יש חשיבות לסדר הבנים משמאל לימין, ואם יש בן יחיד, יש חשיבות אם הוא בן שמאלי או ימני). העץ מכיל  n צמתים שממוספרים במספרים 1 עד n בסדר כלשהו. שימו לב שהעץ אינו בהכרח עץ חיפוש. ייצרו מעץ זה שני מערכים כמתואר להלן:
מערך באורך n המתאר סדר DLR של העץ.
מערך בגודל n, אשר מכיל במקום H(k) את עומק הצומת המסומן ב-k (למשל, אם k הוא השורש, H(k) = 0). 
השאלה: האם בהינתן שני המערכים הנ""ל בלבד, ניתן לשחזר ביחידות את העץ? ",na,,,,,FALSE
A,FALSE,2001,a,b,12,https://docs.google.com/document/d/1m9QlOxr3Vv3z0TqwfYVvZtR-cgSUOuuc,TAU,na,"The given text can be translated into English in LaTeX format as follows:

```latex
Given \( n \) intervals \([ a_i, b_i ]\). (For each \( i \), it holds that \( a_i < b_i \)).
It is known that for each interval \( b_i \) is an integer in the range \( 1 \ldots n^2 \) (but this is not necessarily true for the numbers \( a_i \)).
We want to determine whether all the intervals are disjoint.
Find an efficient algorithm to solve the above problem.
```",na,na,na,na,na,1,"נתונים n קטעים [ ai, bi ].  (לכל i מתקיים ai < bi).
ידוע שלכל קטע bi הוא מספר שלם בתחום n2...1 (אבל זה לא בהכרח נכון עבור המספרים ai).
רוצים להכריע האם כל הקטעים זרים. 
מצאו אלגוריתם יעיל ככל האפשר לפתרון הבעיה הנ""ל",na,,,,,FALSE
D,FALSE,2001,b,a,1,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"\text{In a sequence of } N \text{ Insert operations into an initially empty red-black tree:}

\text{Let } F(N) \text{ be the total number of rotation operations in the worst case.}

\text{Let } G(N) \text{ be the total number of computer operations in the worst case.}

\text{What is the tightest upper bound for the ratio } G(N)/F(N)?

\begin{enumerate}
    \item $\theta(1)$
    \item $\theta(\log(N))$
    \item $\theta(N)$
    \item $\theta(N \log(N))$
\end{enumerate}",na,na,na,"a,f",untested,1,"בסדרה של N פעולות Insert לעץ אדום שחור (ריק מלכתחילה):
יהא F(N) מספר פעולות הרוטציה הכולל במקרה הגרוע ביותר.
יהא G(N) מספר פעולות המחשב הכולל במקרה הגרוע ביותר. 

מה החסם העליון ההדוק ביותר ליחס  G(N)/F(N)?
א. θ(1)
ב. θ (lg(N))
ג. θ (N)
ד. θ (Nlg(N))",na,,,,,
D,FALSE,2001,b,a,2,https://docs.google.com/document/d/1oTX1kHKgw8iBufPGBn9d1Tzmll5dgOIz,TAU,na,"Given a binary tree of size \(N\). We want to ensure it is a search tree. The WC complexity of the most efficient algorithm for performing the check is: \\
a. \(\Theta(\log(N))\) \\
b. \(\Theta(N)\) \\
c. \(\Theta(N \log(N))\) \\
d. Depends on the height of the tree.",na,na,na,"a,e",untested,1,"נתון עץ בינארי בגודל N. רוצים לוודא שהוא עץ חיפוש. סיבוכיות ה-WC של האלגוריתם  היעיל ביותר לביצוע הבדיקה הוא
א. θ (lg(N))
ב. θ (N)
ג. θ ( Nlg(N))
ד. תלוי בגובה העץ. ",na,,,,,
