,Column 1,question_type,exam_year,semester,moed,question_number,url,points,question_translation_latex,multiple_choice_answer,topics_covered,dataset,question_in_hebrew,answer_in_hebrew,answer_translation_latex,chat_answer,is_chat_correct,is_ptbs_good,nli_results,nli_correct(bart),nli_correct(deberta),nlis_agree
0,90,C,2004,a,a,3,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,7,"
$T(n) = T(n/4) + T(3n/4) + 1$  
A. $T(n) = \theta(n)$  
B. $T(n) = \theta(n^{\log_3{4}})$  
C. $T(n) = \theta(n\log{n})$  
D. $T(n) = \theta(n^{0.75})$  
E. $T(n) = \theta(\log^2{n})$  
F. $T(n) = \theta(\log^{0.75}{n})$
",A,a,tested,"
T(n) = T(n/4) + T(3n/4) + 1
א. T(n) = θ(n)
ב. T(n) = θ(n^(log(4)/log(3))) 
ג. T(n) = θ(nlog(n))
ד. T(n) = θ(n^0.75)
ה. T(n) = θ(log(n)^2) 
ו. T(n) = θ(log(n)^0.75)",א.,"
Part A.
",B. $T(n) = \theta(n^{\log_3{4}})$,no,yes,"[['contradiction'], ['contradiction']]",yes,yes,1
1,92,C,2004,a,a,5,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,7,"
If \(\log(f(n)) = \theta(\log(g(n)))\) then necessarily:
a. \(f(n) = \theta(g(n + 1))\)
b. \(f(n) = \theta(g(n/2))\) 
c. \(f(n) = \theta(g(n^{0.5}))\)
d. a + b
e. a + b + c
f. None of the above
",F,a,tested,"אם log(f(n)) = θ(log(g(n))) אז בהכרח:
א. f(n) = θ(g(n + 1))
ב. f(n) = θ(g(n/2)) 
ג. f(n) = θ(g(n^0.5))
ד. א + ב
ה. א + ב + ג
ו. אף אחת מהנ""ל","ו. 
דוגמה נגדית:
f(n) = n!  ,   g(n) = nn","
\subsection{Counterexample}
\( f(n) = n! \), \( g(n) = n^n \)
","\(\log(f(n)) = \theta(\log(g(n)))\) means there exist positive constants \(c_1\), \(c_2\), and \(n_0\) such that 
\(0 \leq c_1 \log(g(n)) \leq \log(f(n)) \leq c_2 \log(g(n))\) for all \(n \geq n_0\).

Therefore, \(c_1 \log(g(n + 1)) \leq \log(f(n)) \leq c_2 \log(g(n + 1))\) for all \(n \geq n_0\),
which implies that \(g(n + 1) \leq f(n) \leq g(n + 1)^{c_2/c_1}\) for all \(n \geq n_0\).

Since \(g(n + 1) \leq f(n) \leq g(n + 1)^{c_2/c_1}\) for all \(n \geq n_0\), we can conclude that \(f(n) = \theta(g(n + 1))\).

Therefore, the correct answer is: a. \(f(n) = \theta(g(n + 1))\)",no,yes,"[['contradiction'], ['neutral']]",yes,n,0
2,93,C,2004,a,a,6,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,7,"
Given a binary search tree that supports order statistic operations. The height of the tree in edges is \( h \) and it contains \( n \) elements. An in-order traversal is performed on the tree, but instead of printing the keys, the value of the Size field is printed.
The maximum value will necessarily be printed in the location:
\begin{enumerate}
    \item First
    \item Last
    \item One of the first \( h \) places.
    \item One of the last \( h \) places.
    \item \( n/2 \)
    \item None of the above.
\end{enumerate}
",F,e,tested,"נתון עץ חיפוש בינארי התומך בפעולות סדר סטטיסטי (Order Statistic). גובה העץ בקשתות הוא h ויש בו n איברים. מבצעים על העץ סריקת LDR (In-order) , אלא שבמקום להדפיס את המפתחות, מדפיסים את ערך השדה Size.
הערך המקסימלי יודפס בהכרח במקום:
א. הראשון
ב. האחרון
ג. אחד מ-h המקומות הראשונים.
ד. אחד מ-h המקומות האחרונים.
ה. n/2
ו. אף אחד מהנ""ל.","ו.
הערך Size המקסימלי שייך לשורש. השורש יכול להיות כל סדר סטטיסטי, ולכן יכול להופיע בכל מקום בהדפסת Inorder","
6. The maximum Size value belongs to the root. The root can be of any statistical order, therefore it can appear anywhere in the Inorder printout.
","The value of the Size field represents the number of nodes in the subtree rooted at that node. Since the binary search tree supports order statistic operations, we can determine the number of nodes in each subtree efficiently.

During an in-order traversal of a binary search tree, the nodes are visited in non-decreasing order of their keys. The Size field for a node represents the number of nodes in its left subtree plus the number of nodes in its right subtree, plus one (for the node itself).

To find the maximum value of the Size field printed during the in-order traversal, we need to consider the node with the largest subtree size. This node will be the root of the subtree with the most nodes since the number of nodes in a subtree is the sum of nodes in the left and right subtrees plus one. Therefore, the maximum value will necessarily be printed in the location:

\begin{enumerate}
    \item First
    \item Last
    \item One of the first \( h \) places.
    \item One of the last \( h \) places.
    \item \( n/2 \)
    \item None of the above.
\end{enumerate}

Therefore, the answer is:

\[\text{One of the first } h \text{ places.}\]",no,yes,"[['entailment'], ['neutral']]",no,n,0
3,95,C,2004,a,a,8,https://docs.google.com/document/d/1XDB0oWMfvAxlym7XTAow0iF4PbwLN3qE,7,"\noindent
Modify the QuickSort algorithm as follows: the pivot element will be selected by choosing the $n/4$ order statistic, using the Select function. The running time of the new algorithm will be:
\begin{itemize}
    \item[(a)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n)$
    \item[(b)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n^2)$ 
    \item[(c)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n\log(n))$
    \item[(d)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n\log(n))$
    \item[(e)] W.C.- $\Theta(n^{0.25}\log(n))$, Expected - $\Theta(n^{0.25}\log(n))$ 
    \item[(f)] W.C.- $\Theta(n^2\log(n))$, Expected - $\Theta(n^2\log(n))$
\end{itemize}",D,j,tested,"נשנה את אלגוריתם QuickSort באופן הבא: בחירת איבר הציר (Pivot) תבוצע על ידי בחירת הסדר הסטטיסטי ה-n/4 , בעזרת פונקצית Select.    זמן ריצת האלגוריתם החדש יהיה:
א. W.C.- θ(nlog(n)), Expectet -θ(n)
ב. W.C.- θ(n^2), Expectet -θ(n^2) 
ג. W.C.- θ(n^2), Expectet -θ(nlog(n))
ד. W.C.- θ(nlog(n)), Expectet -θ(nlog(n))
ה. W.C.- θ(n^0.25log(n)), Expectet -θ(n^0.25log(n)) 
ו. W.C.- θ(n^2log(n)), Expectet -θ(n^2log(n))","ד. 
זמן הריצה יהיה זהה למקרה הגרוע ולמקרה הממוצע – למעשה לא יושפע מהקלט או מהגרלות.
נוסחת הנסיגה: T(n) = T(3n/4) + T(n/4) + Θ(n) (עד כדי עיגול לשלמים).","The correct answer is D.\\

The runtime will be the same for the worst case and the average case – it will not actually be affected by the input or random choices.
The recurrence formula: \( T(n) = T\left(\frac{3n}{4}\right) + T\left(\frac{n}{4}\right) + \Theta(n) \) (rounded to integers).","The solution in latex format is as follows:

\begin{itemize}
    \item[(a)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n)$
    \item[(b)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n^2)$ 
    \item[(c)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n\log(n))$
    \item[(d)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n\log(n))$
    \item[(e)] W.C.- $\Theta(n^{0.25}\log(n))$, Expected - $\Theta(n^{0.25}\log(n))$ 
    \item[(f)] W.C.- $\Theta(n^2\log(n))$, Expected - $\Theta(n^2\log(n))$
\end{itemize}",question,yes,"[['neutral'], ['entailment']]",,,
4,102,C,2004,b,"a,b",1,https://docs.google.com/document/d/1LSxoxH2sEItqkTRlrCstcMk02LN676Jz,8,"
Solve the following recurrence formula:
\[ T(n) = T(c \cdot n) + T((1-c) \cdot n) + n \]
where \( c \) is a constant, \( 0 < c < 1 \).

\begin{enumerate}
    \item \( T(n) = \theta(n) \)
    \item \( T(n) = \theta(n \log n) \)
    \item \( T(n) = \theta(n^{1.5}) \)
    \item \( T(n) = \theta(n^2) \)
\end{enumerate}
",B,a,tested,"פתרו את נוסחת הנסיגה הבאה:
T(n) = T(c*n) + T((1-c)*n) + n כאשר נתון ש-c קבוע, 0 < c < 1 
א. T(n) = θ(n)
*ב. T(n) = θ(nlog(n)) 
ג. T(n) = θ(n^1.5)
ד. T(n) = θ(n^2)",הוכחה באינדוקציה או על ידי עץ רקורסיה.,\noindent Proof by induction or by recursion tree.,"To solve the given recurrence formula, we will use the Akra-Bazzi theorem. 

Let's define constants \( a_1 = a_2 = 1 \) and \( b_1 = b_2 = 0 \). Then we have:

\[ c^p + (1-c)^p = 1 \]

Solving this equation, we get: 
\[ p = \frac{1}{\log_{c} \frac{1}{1-c}} \]

Now we need to check the regularity condition:

For the two subproblems:
\[ n \rightarrow c \cdot n : \left( c \cdot n \right) = c \cdot n < n \]
\[ n \rightarrow (1-c) \cdot n : \left( (1-c) \cdot n \right) = (1-c) \cdot n < n \]

Therefore, the regularity condition is satisfied. 

Now, using the Akra-Bazzi theorem, the solution to the recurrence formula is:

\[ T(n) = \theta \left( n^{p} \left( 1 + \int_{1}^{n} \frac{g(u)}{u^{p+1}} du \right) \right) \]

Substituting the values we found earlier, we get:

\[ T(n) = \theta \left( n^{\frac{1}{\log_{c} \frac{1}{1-c}}} \left( 1 + \int_{1}^{n} \frac{u}{u^{\frac{1}{\log_{c} \frac{1}{1-c}}+1}} du \right) \right) \]

\[ T(n) = \theta \left( n^{\frac{1}{\log_{c} \frac{1}{1-c}}} \left( 1 + \int_{1}^{n} \frac{1}{u^{\frac{1}{\log_{c} \frac{1}{1-c}}}} du \right) \right) \]

After solving this integral and simplifying, we will be able to determine the asymptotic behavior of \( T(n) \) and match it with the given options.",maybe,no,"[['neutral'], ['entailment']]",,,
5,103,C,2004,b,"a,b",2,https://docs.google.com/document/d/1LSxoxH2sEItqkTRlrCstcMk02LN676Jz,8,"What is the asymptotic relationship between the following functions:
If there are multiple correct answers, choose the tightest one.
\( f(n) = \frac{n}{\log(n)}, \quad g(n) = \frac{n^2}{(\log(n))^{2004}} \)
\begin{enumerate}
    \item \( f(n) = O(g(n)) \)
    \item \( f(n) = \Omega(g(n)) \)
    \item \( f(n) = \Theta(g(n)) \)
    \item \( f(n) = o(g(n)) \)
    \item \( f(n) = \omega(g(n)) \)
\end{enumerate}",D,a,tested,"מהו היחס האסימפטוטי בין הפונקציות הבאות:
אם יש כמה תשובות נכונות, בחרו את ההדוקה ביותר.
f(n) = n/log(n), g(n) = n^2/(log(n))^2004
א. f(n) = O(g(n))
ב. f(n) = Ω(g(n)) 
ג. f(n) = θ(g(n))
*ד. f(n) = o(g(n)) 
ה. f(n) = w(g(n))",לכל >0 מתקיים log n = o(n).,"
For all \( \epsilon > 0 \), it holds that \(\log n = o(n)\).
","The correct answer is:
\begin{enumerate}
    \item \( f(n) = o(g(n)) \)
\end{enumerate}",yes,no,"[['neutral'], ['neutral']]",n,n,
6,106,C,2004,b,"a,b",5,https://docs.google.com/document/d/1LSxoxH2sEItqkTRlrCstcMk02LN676Jz,9,"Given an Order-Statistics Tree as defined in class, with the additional field size (i.e., the size of a node x is the number of nodes, including x, in the subtree for which x is the root). In how much time can we print the k nodes in the tree with the largest size field? It is allowed to assume that $k < n^{0.5}$.
A. \(\Theta(n)\).
B. \(\Theta(n \log n)\).
C. \(\Theta(k \log n)\).
D. \(\Theta(k \log k)\).
E. \(\Theta(k)\).",D,p,tested,"נתון עץ Order-Statistics כפי שהוגדר בכיתה, עם השדה הנוסף size (כלומר size של צומת x הוא מספר הצמתים, כולל x, בתת העץ שזה ש-x הוא השורש שלו). בכמה זמן ניתן להדפיס את k הצמתים בעץ להם שדה size גדול ביותר. מותר להניח ש k < n^0.5.
א. Θ(n).
ב. Θ(n log n).
ג. Θ(k log n).
*ד. Θ(k log k).
ה. Θ(k).","בדומה להדפסת k האיברים הגדולים ביותר בערימת מקסימום. נשתמש בערימת עזר, שתכיל את המועמדים להדפסה, ובכל שלב נדפיס את המקסימלי של ערימת עזר, נמחק אותו מערימת העזר, ואת שני בניו מהעץ נכניס במקומו לערימת העזר.","
Similar to printing the $k$ largest elements from a max heap, we will use an auxiliary heap, which will contain the candidates for printing. At each step, we will print the maximum of the auxiliary heap, remove it from the auxiliary heap, and insert its two children from the tree into the auxiliary heap.
","The solution to this question is:

C. \(\Theta(k \log n)\).

Explanation:
We can use an algorithm similar to in-order traversal with a slight modification. We will follow the largest-size direction first, i.e., at each node, we will first visit the subtree with the larger size. This way, we are guaranteed to visit the nodes in decreasing order of size.

To print the k nodes with the largest size field, we need to visit each of these nodes once. In the worst-case scenario, we might need to traverse up to k levels in the tree to find the k largest nodes. At each level of the tree, we might need to do some constant work to decide which subtree to visit next.

Therefore, the total time complexity will be proportional to the number of nodes we visit, which is \(\Theta(k)\), and the height of the tree, which is \(\Theta(\log n)\). Hence, the overall time complexity will be \(\Theta(k \log n)\).",no,no,"[['contradiction'], ['neutral']]",yes,n,
7,107,C,2004,b,"a,b",6,https://docs.google.com/document/d/1LSxoxH2sEItqkTRlrCstcMk02LN676Jz,8,"\begin{quote}
We want a data structure that supports the operations Insert, Delete, and Find.

Two data structures are proposed:
The first supports all operations in W.C. time \( O(n) \) and in Amortized time per operation \( O(1) \).
The second supports all operations in W.C. time \( O(\log n) \) and in Amortized time per operation \( O(\log N) \).

We remind that \( n \) describes the number of elements in the structure, and \( N \) describes the number of operations performed on the structure.

The structure is needed for an algorithm that performs \( N \) operations on the structure. The structure is initialized to an empty state. At the beginning of the algorithm's run, \( N/10 \) insert operations are performed on it.

Which of the two structures is preferable in order to achieve the lowest W.C. time for the algorithm?
\begin{itemize}
    \item [a.] The first.
    \item [b.] The second.
    \item [c.] The answer for \( n = N/2 \) is different from the answer for \( n = N/4 \).
    \item [d.] None of the above answers.
\end{itemize}
\end{quote}",A,b,tested,"רוצים מבנה נתונים שתומך בפעולות Insert, Delete ו-Find.
מוצעים שני מבנים:
הראשון תומך בכל הפעולות בזמן W.C. O(n) ובזמן Amortized לפעולה O(1).
השני תומך בכל הפעולות בזמן W.C. O(log n) ובזמן Amortized לפעולה O(log N).
נזכיר ש-n מתאר את מספר האיברים במבנה, ו-N מתאר את מספר הפעולות שבוצעו על המבנה.

המבנה דרוש לאלגוריתם שמבצע N פעולות על המבנה. המבנה מאותחל למצב ריק. בתחילת ריצת האלגוריתם מבוצעות עליו N/10פעולות insert.

איזה משני המבנים עדיף, על מנת  להשיג זמן W.C. הנמוך ביותר לאלגוריתם?
*א. הראשון.
ב. השני.
ג. התשובה עבור n = N/2שונה מהתשובה עבור n = N/4.
ד. אף אחת מהתשובות הנ""ל.",הראשון דורש זמן כולל O(N). השני דורש זמן כולל O(N log N) .,The first requires total time $O(N)$. The second requires total time $O(N \log N)$.,"\textbf{Solution:}

The first structure supports all operations in worst-case time \( O(n) \) and in amortized time per operation \( O(1) \).

The second structure supports all operations in worst-case time \( O(\log n) \) and in amortized time per operation \( O(\log N) \).

Since the structure is needed for an algorithm that performs \( N \) operations on the structure, and at the beginning, \( N/10 \) insert operations are performed, the total number of elements in the structure after initialization will be \( N/10 \).

Now, let's compare the two structures:

1. For the first structure:
- Worst-case time for \( N/10 \) insert operations: \( O(N) \)
- Amortized time per operation for the remaining operations: \( O(1) \)

2. For the second structure:
- Worst-case time for \( N/10 \) insert operations: \( O(\log (N/10)) = O(\log N) \)
- Amortized time per operation for the remaining operations: \( O(\log N) \)

From the comparison above, we can see that the second structure is preferable in order to achieve the lowest worst-case time for the algorithm.

Therefore, the correct answer is \textbf{(b.)} The second.",no,yes,"[['contradiction'], ['neutral']]",yes,n,0
8,108,C,2004,b,"a,b",7,https://docs.google.com/document/d/1LSxoxH2sEItqkTRlrCstcMk02LN676Jz,9,"
We are interested in the following problem:
Input: An array of size $n$.
Question: Are there 2 values in the array such that the number of their occurrences together is exactly 2004?

We want an algorithm that will solve the problem in the shortest expected time.
It can be done in expected time:
A. $\Theta(\log(n))$
B. $\Theta(n)$ 
C. $\Theta(n\log(n))$
D. $\Theta(n^2)$
E. None of the above
",B,a,tested,"נתעניין בבעיה הבאה:
קלט: מערך בגודל n.
שאלה: האם יש במערך 2 ערכים שמספר המופעים של שניהם יחד הוא בדיוק 2004.

רוצים אלגוריתם שיפתור את הבעיה בתוחלת זמן הקצרה ביותר.
ניתן לעשות זאת בתוחלת זמן:
א. θ(log(n))
*ב. θ(n) 
ג. θ(nlog(n))
ד. θ(n^2)
ה. אף אחד מהנ""ל","נכניס את כל האיברים לטבלת Hash בגודל n (פתרון התנגשויות על ידי רשימות מקושרות) בתוחלת זמן O(n) . ערכים כפולים נשמור באותו איבר ברשימה על ידי מונה.
המונים הם שלמים בין 1 ל-n לכן אפשר למיין אותם במערך על ידי מיון מניה (CountSort) בזמן O(n). עכשיו בעזרת שני אינדקסים אפשר לרוץ על המערך מההתחלה ומהסוף, ולבדוק האם יש שני איברים במערך שסכומם 2004.","\noindent
Insert all elements into a Hash table of size $n$ (collision resolution using linked lists) in expected time $O(n)$. Duplicate values will be stored in the same list element by a counter. \\
The counters are integers between $1$ and $n$, so they can be sorted in an array using counting sort (CountSort) in time $O(n)$. Now, with the help of two indices, one can traverse the array from the beginning and the end, and check if there are two elements in the array whose sum is $2004$. \\","The solution is: B. $\Theta(n)$

We can solve this problem in linear time by using a hash table to keep track of the frequency of each value in the array. We then iterate through the array and check if there exists a pair of values whose frequencies sum up to 2004. This can be done in $\Theta(n)$ time.",yes,yes,"[['neutral'], ['entailment']]",yes,yes,1
9,118,C,2005,a,a,5,https://docs.google.com/document/d/1Ze9Vu1t-M8eGfSRY5m6GdpbIz9KUxnzN,8,"
In a max-heap, the median is necessarily located:

A. at the root.

B. at a depth of at most $\frac{\log(n)}{2} - 1$.

C. at a depth of at most $\frac{\log(n)}{2} + 1$.

D. in the two lowest layers.

E. none of the above.
",E,h,tested,"בערימת מקסימום, החציון נמצא  בהכרח:
א. בשורש.
ב. בעומק לכל היותר log(n)/2 - 1 .
ג. בעומק לכל היותר log(n)/2 + 1
ד. בשתי השכבות הנמוכות ביותר.
ה. אף אחד מהנ""ל.","ה. החציון יכול להיות בן ישיר של השורש (למשל אם כל תת עץ ימין גדולים מכל תת עץ שמאל) ויכול גם להיות באחד העלים (אם חצי הערכים הקטנים ביותר נמצאים בעלים).
","\begin{itemize}
    \item[(e)] The median can be a direct child of the root (for example, if every right subtree is larger than every left subtree), and it can also be in one of the leaves (if the half smallest values are in the leaves).
\end{itemize}","The solution in LaTeX format is:

\textbf{B.} at a depth of at most $\frac{\log(n)}{2} - 1$.",no,yes,"[['neutral'], ['neutral']]",n,yes,0
